Season,Week,Team.Name,Team.1.Player,Team.1.Skill,Team.1.Archetype,Gauntlet,,Team.2.Archetype,Team.2.Skill,Team.2.Player,Wins,Losses,,For Matchup Table,Filtering by week
Season 4,Week 4,ROOKIES,BASARA,Sealed Tombs,Koa'ki Meiru,L,W,Koa'ki Meiru,Sealed Tombs,Swaganitis,0,1,,,
Season 4,Week 4,ROOKIES,SHINYA,Ties That Bind,Koa'ki Meiru,L,W,Koa'ki Meiru,Sealed Tombs,Swaganitis,0,1,,,
Season 4,Week 4,ROOKIES,SHINYA,Sealed Tombs,Koa'ki Meiru,W,L,Koa'ki Meiru,Sealed Tombs,Swaganitis,1,0,,Koa'ki MeiruKoa'ki Meiru,
Season 4,Week 4,ROOKIES,SHINYA,Sealed Tombs,Koa'ki Meiru,W,L,Ancient Gear,M. A. Mechs,Swaganitis,1,0,,Koa'ki MeiruAncient Gear,
Season 4,Week 4,ROOKIES,SHINYA,Sealed Tombs,Koa'ki Meiru,W,L,Ancient Gear,M. A. Mechs,Sasuke,1,0,,Koa'ki MeiruAncient Gear,
Season 4,Week 4,ROOKIES,SHINYA,Sealed Tombs,Koa'ki Meiru,L,W,Spellbooks,Restart,Sasuke,0,1,,,
Season 4,Week 4,ROOKIES,Downman,Post Army,Vampires,L,W,Spellbooks,Restart,Sasuke,0,1,,,
Season 4,Week 4,ROOKIES,Downman,Lvl Aug,Karakuri,L,W,Spellbooks,Restart,Sasuke,0,1,,,
Season 4,Week 4,Pharaohs,Beasty,Ties That Bind,Koa'ki Meiru,W,L,Ancient Gear,Ties That Bind,Taylor,1,0,,Koa'ki MeiruAncient Gear,
Season 4,Week 4,Pharaohs,Beasty,Ties That Bind,Koa'ki Meiru,W,L,Buster Blader,Last Gamble,Taylor,1,0,,Koa'ki MeiruBuster Blader,
Season 4,Week 4,Pharaohs,Beasty,Ties That Bind,Koa'ki Meiru,W,L,Buster Blader,Last Gamble,[RK] sasateru,1,0,,Koa'ki MeiruBuster Blader,
Season 4,Week 4,Pharaohs,Beasty,Ties That Bind,Koa'ki Meiru,W,L,Ancient Gear,Ties That Bind,[RK] sasateru,1,0,,Koa'ki MeiruAncient Gear,
Season 4,Week 4,Pharaohs,Beasty,Ties That Bind,Koa'ki Meiru,L,W,Spellbooks,Show of Nightmares,BASARA,0,1,,,
Season 4,Week 4,Pharaohs,Beasty,KC Bling,Vampires,L,W,Spellbooks,Show of Nightmares,BASARA,0,1,,,
Season 4,Week 4,Pharaohs,Leozin,Last Gamble,Buster Blader,L,W,Spellbooks,Show of Nightmares,BASARA,0,1,,,
Season 4,Week 4,Pharaohs,Leozin,M. A. Mechs,Ancient Gear,W,L,Spellbooks,Show of Nightmares,BASARA,1,0,,Ancient GearSpellbooks,
Season 4,Week 4,Pharaohs,Leozin,M. A. Mechs,Ancient Gear,L,W,Koa'ki Meiru,Sealed Tombs,BASARA,0,1,,,
Season 4,Week 4,Pharaohs,Swaganitis,Sealed Tombs,Koa'ki Meiru,W,L,Koa'ki Meiru,Sealed Tombs,BASARA,1,0,,Koa'ki MeiruKoa'ki Meiru,
Season 4,Week 4,Pharaohs,Swaganitis,Sealed Tombs,Koa'ki Meiru,W,L,Koa'ki Meiru,Ties That Bind,SHINYA,1,0,,Koa'ki MeiruKoa'ki Meiru,
Season 4,Week 4,Pharaohs,Swaganitis,Sealed Tombs,Koa'ki Meiru,L,W,Koa'ki Meiru,Sealed Tombs,SHINYA,0,1,,,
Season 4,Week 4,Pharaohs,Swaganitis,M. A. Mechs,Ancient Gear,L,W,Koa'ki Meiru,Sealed Tombs,SHINYA,0,1,,,
Season 4,Week 4,Pharaohs,Sasuke,M. A. Mechs,Ancient Gear,L,W,Koa'ki Meiru,Sealed Tombs,SHINYA,0,1,,,
Season 4,Week 4,Pharaohs,Sasuke,Restart,Spellbooks,W,L,Koa'ki Meiru,Sealed Tombs,SHINYA,1,0,,SpellbooksKoa'ki Meiru,
Season 4,Week 4,Pharaohs,Sasuke,Restart,Spellbooks,W,L,Vampires,Post Army,Downman,1,0,,SpellbooksVampires,
Season 4,Week 4,Pharaohs,Sasuke,Restart,Spellbooks,W,L,Karakuri,Lvl Aug,Downman,1,0,,SpellbooksKarakuri,
Season 4,Week 5,Bricks & Potatoes,Jason,Chain R.,Control,W,L,Koa'ki Meiru,Ties That Bind,PaugiN,1,0,,ControlKoa'ki Meiru,
Season 4,Week 5,Bricks & Potatoes,Jason,Chain R.,Control,L,W,Vampires,KC Bling,PaugiN,0,1,,,
Season 4,Week 5,Bricks & Potatoes,Jason,Sealed Tombs,Koa'ki Meiru,W,L,Vampires,KC Bling,PaugiN,1,0,,Koa'ki MeiruVampires,
Season 4,Week 5,Bricks & Potatoes,Jason,Sealed Tombs,Koa'ki Meiru,L,W,Buster Blader,Last Gamble,Wise,0,1,,,
Season 4,Week 5,Bricks & Potatoes,AndyTsang,M. A. Mechs,Ancient Gear,W,L,Buster Blader,Last Gamble,Wise,1,0,,Ancient GearBuster Blader,
Season 4,Week 5,Bricks & Potatoes,AndyTsang,M. A. Mechs,Ancient Gear,W,L,Vampires,KC Bling,Wise,1,0,,Ancient GearVampires,
Season 4,Week 5,Bricks & Potatoes,AndyTsang,M. A. Mechs,Ancient Gear,W,L,Koa'ki Meiru,Ties That Bind,BiscaiaBL,1,0,,Ancient GearKoa'ki Meiru,
Season 4,Week 5,Bricks & Potatoes,AndyTsang,M. A. Mechs,Ancient Gear,L,W,Masked Heroes,Sealed Tombs,BiscaiaBL,0,1,,,
Season 4,Week 5,Bricks & Potatoes,AndyTsang,Last Gamble,Buster Blader,L,W,Masked Heroes,Sealed Tombs,BiscaiaBL,0,1,,,
Season 4,Week 5,Bricks & Potatoes,Grucius,Parasite,Amazoness,W,L,Masked Heroes,Sealed Tombs,BiscaiaBL,1,0,,AmazonessMasked Heroes,
Season 4,Week 5,Bricks & Potatoes,Grucius,Parasite,Amazoness,L,W,Ancient Gear,M. A. Mechs,Specialist,0,1,,,
Season 4,Week 5,Bricks & Potatoes,Grucius,Ties That Bind,Koa'ki Meiru,W,L,Ancient Gear,M. A. Mechs,Specialist,1,0,,Koa'ki MeiruAncient Gear,
Season 4,Week 5,Bricks & Potatoes,Grucius,Ties That Bind,Koa'ki Meiru,L,W,Karakuri,Lvl Aug,Specialist,0,1,,,
Season 4,Week 5,Bricks & Potatoes,R-McMurphy,Ties That Bind,Koa'ki Meiru,W,L,Karakuri,Lvl Aug,Specialist,1,0,,Koa'ki MeiruKarakuri,
Season 4,Week 5,Bricks & Potatoes,R-McMurphy,Ties That Bind,Koa'ki Meiru,W,L,Buster Blader,Last Gamble,Crash,1,0,,Koa'ki MeiruBuster Blader,
Season 4,Week 5,Bricks & Potatoes,R-McMurphy,Ties That Bind,Koa'ki Meiru,W,L,Ancient Gear,M. A. Mechs,Crash,1,0,,Koa'ki MeiruAncient Gear,
Season 4,Week 5,The Usual Suspects,PaugiN,Ties That Bind,Koa'ki Meiru,L,W,Control,Chain R.,Jason,0,1,,,
Season 4,Week 5,The Usual Suspects,PaugiN,KC Bling,Vampires,W,L,Control,Chain R.,Jason,1,0,,VampiresControl,
Season 4,Week 5,The Usual Suspects,PaugiN,KC Bling,Vampires,L,W,Koa'ki Meiru,Sealed Tombs,Jason,0,1,,,
Season 4,Week 5,The Usual Suspects,Wise,Last Gamble,Buster Blader,W,L,Koa'ki Meiru,Sealed Tombs,Jason,1,0,,Buster BladerKoa'ki Meiru,
Season 4,Week 5,The Usual Suspects,Wise,Last Gamble,Buster Blader,L,W,Ancient Gear,M. A. Mechs,AndyTsang,0,1,,,
Season 4,Week 5,The Usual Suspects,Wise,KC Bling,Vampires,L,W,Ancient Gear,M. A. Mechs,AndyTsang,0,1,,,
Season 4,Week 5,The Usual Suspects,BiscaiaBL,Ties That Bind,Koa'ki Meiru,L,W,Ancient Gear,M. A. Mechs,AndyTsang,0,1,,,
Season 4,Week 5,The Usual Suspects,BiscaiaBL,Sealed Tombs,Masked Heroes,W,L,Ancient Gear,M. A. Mechs,AndyTsang,1,0,,Masked HeroesAncient Gear,
Season 4,Week 5,The Usual Suspects,BiscaiaBL,Sealed Tombs,Masked Heroes,W,L,Buster Blader,Last Gamble,AndyTsang,1,0,,Masked HeroesBuster Blader,
Season 4,Week 5,The Usual Suspects,BiscaiaBL,Sealed Tombs,Masked Heroes,L,W,Amazoness,Parasite,Grucius,0,1,,,
Season 4,Week 5,The Usual Suspects,Specialist,M. A. Mechs,Ancient Gear,W,L,Amazoness,Parasite,Grucius,1,0,,Ancient GearAmazoness,
Season 4,Week 5,The Usual Suspects,Specialist,M. A. Mechs,Ancient Gear,L,W,Koa'ki Meiru,Ties That Bind,Grucius,0,1,,,
Season 4,Week 5,The Usual Suspects,Specialist,Lvl Aug,Karakuri,W,L,Koa'ki Meiru,Ties That Bind,Grucius,1,0,,KarakuriKoa'ki Meiru,
Season 4,Week 5,The Usual Suspects,Specialist,Lvl Aug,Karakuri,L,W,Koa'ki Meiru,Ties That Bind,R-McMurphy,0,1,,,
Season 4,Week 5,The Usual Suspects,Crash,Last Gamble,Buster Blader,L,W,Koa'ki Meiru,Ties That Bind,R-McMurphy,0,1,,,
Season 4,Week 5,The Usual Suspects,Crash,M. A. Mechs,Ancient Gear,L,W,Koa'ki Meiru,Ties That Bind,R-McMurphy,0,1,,,
Season 4,Week 5,CwC,Zeppelin,Chain R.,Amazoness,L,W,Vampires,KC Bling,mintman,0,1,,,
Season 4,Week 5,CwC,Zeppelin,Ties That Bind,Koa'ki Meiru,L,W,Vampires,KC Bling,mintman,0,1,,,
Season 4,Week 5,CwC,Mixed_Master7,Sealed Tombs,Koa'ki Meiru,L,W,Vampires,KC Bling,mintman,0,1,,,
Season 4,Week 5,CwC,Mixed_Master8,Chain R.,Amazoness,W,L,Vampires,KC Bling,mintman,1,0,,AmazonessVampires,
Season 4,Week 5,CwC,Mixed_Master9,Chain R.,Amazoness,L,W,Buster Blader,Last Gamble,mintman,0,1,,,
Season 4,Week 5,CwC,Drackmord,M. A. Mechs,Ancient Gear,L,W,Buster Blader,Last Gamble,mintman,0,1,,,
Season 4,Week 5,CwC,Drackmord,KC Bling,Vampires,W,L,Buster Blader,Last Gamble,mintman,1,0,,VampiresBuster Blader,
Season 4,Week 5,CwC,Drackmord,KC Bling,Vampires,L,W,Control,Sealed Tombs,naaaa_zodiac,0,1,,,
Season 4,Week 5,CwC,Kosmo,Last Gamble,Buster Blader,W,L,Control,Sealed Tombs,naaaa_zodiac,1,0,,Buster BladerControl,
Season 4,Week 5,CwC,Kosmo,Last Gamble,Buster Blader,L,W,Amazoness,Parasite,naaaa_zodiac,0,1,,,
Season 4,Week 5,CwC,Kosmo,Restart,Spellbooks,L,W,Amazoness,Parasite,naaaa_zodiac,0,1,,,
Season 4,Week 5,CwC,Alpha_Wayne,KC Bling,Vampires,W,L,Amazoness,Parasite,naaaa_zodiac,1,0,,VampiresAmazoness,
Season 4,Week 5,CwC,Alpha_Wayne,KC Bling,Vampires,W,L,Koa'ki Meiru,Sealed Tombs,siU,1,0,,VampiresKoa'ki Meiru,
Season 4,Week 5,CwC,Alpha_Wayne,KC Bling,Vampires,W,L,Gem Knight,Last Gamble,siU,1,0,,VampiresGem Knight,
Season 4,Week 5,CwC,Alpha_Wayne,KC Bling,Vampires,L,W,Buster Blader,Last Gamble,agg,0,1,,,
Season 4,Week 5,CwC,Alpha_Wayne,Last Gamble,Buster Blader,W,L,Buster Blader,Last Gamble,agg,1,0,,Buster BladerBuster Blader,
Season 4,Week 5,CwC,Alpha_Wayne,Last Gamble,Buster Blader,W,L,Spellbooks,Restart,agg,1,0,,Buster BladerSpellbooks,
Season 4,Week 5,CwC,Alpha_Wayne,Last Gamble,Buster Blader,L,W,Ancient Gear,M. A. Mechs,sun,0,1,,,
Season 4,Week 5,Zodiac,mintman,KC Bling,Vampires,W,L,Amazoness,Chain R.,Zeppelin,1,0,,VampiresAmazoness,
Season 4,Week 5,Zodiac,mintman,KC Bling,Vampires,W,L,Koa'ki Meiru,Ties That Bind,Zeppelin,1,0,,VampiresKoa'ki Meiru,
Season 4,Week 5,Zodiac,mintman,KC Bling,Vampires,W,L,Koa'ki Meiru,Sealed Tombs,Mixed_Master7,1,0,,VampiresKoa'ki Meiru,
Season 4,Week 5,Zodiac,mintman,KC Bling,Vampires,L,W,Amazoness,Chain R.,Mixed_Master8,0,1,,,
Season 4,Week 5,Zodiac,mintman,Last Gamble,Buster Blader,W,L,Amazoness,Chain R.,Mixed_Master9,1,0,,Buster BladerAmazoness,
Season 4,Week 5,Zodiac,mintman,Last Gamble,Buster Blader,W,L,Ancient Gear,M. A. Mechs,Drackmord,1,0,,Buster BladerAncient Gear,
Season 4,Week 5,Zodiac,mintman,Last Gamble,Buster Blader,L,W,Vampires,KC Bling,Drackmord,0,1,,,
Season 4,Week 5,Zodiac,naaaa_zodiac,Sealed Tombs,Control,W,L,Vampires,KC Bling,Drackmord,1,0,,ControlVampires,
Season 4,Week 5,Zodiac,naaaa_zodiac,Sealed Tombs,Control,L,W,Buster Blader,Last Gamble,Kosmo,0,1,,,
Season 4,Week 5,Zodiac,naaaa_zodiac,Parasite,Amazoness,W,L,Buster Blader,Last Gamble,Kosmo,1,0,,AmazonessBuster Blader,
Season 4,Week 5,Zodiac,naaaa_zodiac,Parasite,Amazoness,W,L,Spellbooks,Restart,Kosmo,1,0,,AmazonessSpellbooks,
Season 4,Week 5,Zodiac,naaaa_zodiac,Parasite,Amazoness,L,W,Vampires,KC Bling,Alpha_Wayne,0,1,,,
Season 4,Week 5,Zodiac,siU,Sealed Tombs,Koa'ki Meiru,L,W,Vampires,KC Bling,Alpha_Wayne,0,1,,,
Season 4,Week 5,Zodiac,siU,Last Gamble,Gem Knight,L,W,Vampires,KC Bling,Alpha_Wayne,0,1,,,
Season 4,Week 5,Zodiac,agg,Last Gamble,Buster Blader,W,L,Vampires,KC Bling,Alpha_Wayne,1,0,,Buster BladerVampires,
Season 4,Week 5,Zodiac,agg,Last Gamble,Buster Blader,L,W,Buster Blader,Last Gamble,Alpha_Wayne,0,1,,,
Season 4,Week 5,Zodiac,agg,Restart,Spellbooks,L,W,Buster Blader,Last Gamble,Alpha_Wayne,0,1,,,
Season 4,Week 5,Zodiac,sun,M. A. Mechs,Ancient Gear,W,L,Buster Blader,Last Gamble,Alpha_Wayne,1,0,,Ancient GearBuster Blader,
Season 4,Week 5,ROOKIES,Light,Sealed Tombs,Koa'ki Meiru,L,W,Amazoness,Chain R.,Luso,0,1,,,
Season 4,Week 5,ROOKIES,Light,M. A. Mechs,Ancient Gear,W,L,Amazoness,Chain R.,Luso,1,0,,Ancient GearAmazoness,
Season 4,Week 5,ROOKIES,Light,M. A. Mechs,Ancient Gear,W,L,Koa'ki Meiru,Last Gamble,Luso,1,0,,Ancient GearKoa'ki Meiru,
Season 4,Week 5,ROOKIES,Light,M. A. Mechs,Ancient Gear,W,L,Ancient Gear,Ties That Bind,Lisa,1,0,,Ancient GearAncient Gear,
Season 4,Week 5,ROOKIES,Light,M. A. Mechs,Ancient Gear,W,L,Buster Blader,Last Gamble,Lisa,1,0,,Ancient GearBuster Blader,
Season 4,Week 5,ROOKIES,Light,M. A. Mechs,Ancient Gear,L,W,Amazoness,ETH,Envy,0,1,,,
Season 4,Week 5,ROOKIES,Goburin,M. A. Mechs,Ancient Gear,W,L,Amazoness,ETH,Envy,1,0,,Ancient GearAmazoness,
Season 4,Week 5,ROOKIES,Goburin,M. A. Mechs,Ancient Gear,L,W,Vampires,Bandit,Envy,0,1,,,
Season 4,Week 5,ROOKIES,Goburin,Sealed Tombs,Koa'ki Meiru,W,L,Vampires,Bandit,Envy,1,0,,Koa'ki MeiruVampires,
Season 4,Week 5,ROOKIES,Goburin,Sealed Tombs,Koa'ki Meiru,L,W,Buster Blader,Last Gamble,Pallad23,0,1,,,
Season 4,Week 5,ROOKIES,Genkai Leo,Chain R.,Amazoness,W,L,Buster Blader,Last Gamble,Pallad23,1,0,,AmazonessBuster Blader,
Season 4,Week 5,ROOKIES,Genkai Leo,Chain R.,Amazoness,W,L,Vampires,Bandit,Pallad23,1,0,,AmazonessVampires,
Season 4,Week 5,ROOKIES,Genkai Leo,Chain R.,Amazoness,L,W,Vampires,Destiny Draw,14Siltums,0,1,,,
Season 4,Week 5,ROOKIES,Genkai Leo,Show of Nightmares,Spellbooks,W,L,Vampires,Destiny Draw,14Siltums,1,0,,SpellbooksVampires,
Season 4,Week 5,ROOKIES,Genkai Leo,Show of Nightmares,Spellbooks,L,W,Buster Blader,Last Gamble,14Siltums,0,1,,,
Season 4,Week 5,ROOKIES,Taylor,KC Bling,Vampires,L,W,Buster Blader,Last Gamble,14Siltums,0,1,,,
Season 4,Week 5,ROOKIES,Taylor,Last Gamble,Buster Blader,L,W,Buster Blader,Last Gamble,14Siltums,0,1,,,
Season 4,Week 5,ROOKIES,Rookie,KC Bling,Vampires,W,L,Buster Blader,Last Gamble,14Siltums,1,0,,VampiresBuster Blader,
Season 4,Week 5,Nusantara Warriors,Luso,Chain R.,Amazoness,W,L,Koa'ki Meiru,Sealed Tombs,Light,1,0,,AmazonessKoa'ki Meiru,
Season 4,Week 5,Nusantara Warriors,Luso,Chain R.,Amazoness,L,W,Ancient Gear,M. A. Mechs,Light,0,1,,,
Season 4,Week 5,Nusantara Warriors,Luso,Last Gamble,Koa'ki Meiru,L,W,Ancient Gear,M. A. Mechs,Light,0,1,,,
Season 4,Week 5,Nusantara Warriors,Lisa,Ties That Bind,Ancient Gear,L,W,Ancient Gear,M. A. Mechs,Light,0,1,,,
Season 4,Week 5,Nusantara Warriors,Lisa,Last Gamble,Buster Blader,L,W,Ancient Gear,M. A. Mechs,Light,0,1,,,
Season 4,Week 5,Nusantara Warriors,Envy,ETH,Amazoness,W,L,Ancient Gear,M. A. Mechs,Light,1,0,,AmazonessAncient Gear,
Season 4,Week 5,Nusantara Warriors,Envy,ETH,Amazoness,L,W,Ancient Gear,M. A. Mechs,Goburin,0,1,,,
Season 4,Week 5,Nusantara Warriors,Envy,Bandit,Vampires,W,L,Ancient Gear,M. A. Mechs,Goburin,1,0,,VampiresAncient Gear,
Season 4,Week 5,Nusantara Warriors,Envy,Bandit,Vampires,L,W,Koa'ki Meiru,Sealed Tombs,Goburin,0,1,,,
Season 4,Week 5,Nusantara Warriors,Pallad23,Last Gamble,Buster Blader,W,L,Koa'ki Meiru,Sealed Tombs,Goburin,1,0,,Buster BladerKoa'ki Meiru,
Season 4,Week 5,Nusantara Warriors,Pallad23,Last Gamble,Buster Blader,L,W,Amazoness,Chain R.,Genkai Leo,0,1,,,
Season 4,Week 5,Nusantara Warriors,Pallad23,Bandit,Vampires,L,W,Amazoness,Chain R.,Genkai Leo,0,1,,,
Season 4,Week 5,Nusantara Warriors,14Siltums,Destiny Draw,Vampires,W,L,Amazoness,Chain R.,Genkai Leo,1,0,,VampiresAmazoness,
Season 4,Week 5,Nusantara Warriors,14Siltums,Destiny Draw,Vampires,L,W,Spellbooks,Show of Nightmares,Genkai Leo,0,1,,,
Season 4,Week 5,Nusantara Warriors,14Siltums,Last Gamble,Buster Blader,W,L,Spellbooks,Show of Nightmares,Genkai Leo,1,0,,Buster BladerSpellbooks,
Season 4,Week 5,Nusantara Warriors,14Siltums,Last Gamble,Buster Blader,W,L,Vampires,KC Bling,Taylor,1,0,,Buster BladerVampires,
Season 4,Week 5,Nusantara Warriors,14Siltums,Last Gamble,Buster Blader,W,L,Buster Blader,Last Gamble,Taylor,1,0,,Buster BladerBuster Blader,
Season 4,Week 5,Nusantara Warriors,14Siltums,Last Gamble,Buster Blader,L,W,Vampires,KC Bling,Rookie,0,1,,,
Season 4,Week 5,Forbidden Memories,PDS,M. A. Mechs,Ancient Gear,W,L,Amazoness,Parasite,Brenduke,1,0,,Ancient GearAmazoness,
Season 4,Week 5,Forbidden Memories,PDS,M. A. Mechs,Ancient Gear,W,L,Koa'ki Meiru,Ties That Bind,Brenduke,1,0,,Ancient GearKoa'ki Meiru,
Season 4,Week 5,Forbidden Memories,PDS,M. A. Mechs,Ancient Gear,L,W,Amazoness,KC Bling,Lex,0,1,,,
Season 4,Week 5,Forbidden Memories,PDS,Ties That Bind,Koa'ki Meiru,W,L,Amazoness,KC Bling,Lex,1,0,,Koa'ki MeiruAmazoness,
Season 4,Week 5,Forbidden Memories,PDS,Ties That Bind,Koa'ki Meiru,L,W,Buster Blader,Last Gamble,Lex,0,1,,,
Season 4,Week 5,Forbidden Memories,Jano,Ties That Bind,Masked Heroes,W,L,Buster Blader,Last Gamble,Lex,1,0,,Masked HeroesBuster Blader,
Season 4,Week 5,Forbidden Memories,Jano,Ties That Bind,Masked Heroes,W,L,Koa'ki Meiru,Ties That Bind,Puzoor,1,0,,Masked HeroesKoa'ki Meiru,
Season 4,Week 5,Forbidden Memories,Jano,Ties That Bind,Masked Heroes,L,W,Vampires,KC Bling,Puzoor,0,1,,,
Season 4,Week 5,Forbidden Memories,Jano,Last Gamble,Buster Blader,W,L,Vampires,KC Bling,Puzoor,1,0,,Buster BladerVampires,
Season 4,Week 5,Forbidden Memories,Jano,Last Gamble,Buster Blader,L,W,Ancient Gear,M. A. Mechs,Gregulator,0,1,,,
Season 4,Week 5,Forbidden Memories,Vino,Ties That Bind,Koa'ki Meiru,W,L,Ancient Gear,M. A. Mechs,Gregulator,1,0,,Koa'ki MeiruAncient Gear,
Season 4,Week 5,Forbidden Memories,Vino,Ties That Bind,Koa'ki Meiru,W,L,Koa'ki Meiru,Sealed Tombs,Gregulator,1,0,,Koa'ki MeiruKoa'ki Meiru,
Season 4,Week 5,Forbidden Memories,Vino,Ties That Bind,Koa'ki Meiru,L,W,Buster Blader,Last Gamble,Panase,0,1,,,
Season 4,Week 5,Forbidden Memories,Vino,KC Bling,Vampires,W,L,Buster Blader,Last Gamble,Panase,1,0,,VampiresBuster Blader,
Season 4,Week 5,Forbidden Memories,Vino,KC Bling,Vampires,L,W,Vampires,KC Bling,Panase,0,1,,,
Season 4,Week 5,Forbidden Memories,Lipe,Sealed Tombs,Koa'ki Meiru,W,L,Vampires,KC Bling,Panase,1,0,,Koa'ki MeiruVampires,
Season 4,Week 5,Animal Plays,Brenduke,Parasite,Amazoness,L,W,Ancient Gear,M. A. Mechs,PDS,0,1,,,
Season 4,Week 5,Animal Plays,Brenduke,Ties That Bind,Koa'ki Meiru,L,W,Ancient Gear,M. A. Mechs,PDS,0,1,,,
Season 4,Week 5,Animal Plays,Lex,KC Bling,Amazoness,W,L,Ancient Gear,M. A. Mechs,PDS,1,0,,AmazonessAncient Gear,
Season 4,Week 5,Animal Plays,Lex,KC Bling,Amazoness,L,W,Koa'ki Meiru,Ties That Bind,PDS,0,1,,,
Season 4,Week 5,Animal Plays,Lex,Last Gamble,Buster Blader,W,L,Koa'ki Meiru,Ties That Bind,PDS,1,0,,Buster BladerKoa'ki Meiru,
Season 4,Week 5,Animal Plays,Lex,Last Gamble,Buster Blader,L,W,Masked Heroes,Ties That Bind,Jano,0,1,,,
Season 4,Week 5,Animal Plays,Puzoor,Ties That Bind,Koa'ki Meiru,L,W,Masked Heroes,Ties That Bind,Jano,0,1,,,
Season 4,Week 5,Animal Plays,Puzoor,KC Bling,Vampires,W,L,Masked Heroes,Ties That Bind,Jano,1,0,,VampiresMasked Heroes,
Season 4,Week 5,Animal Plays,Puzoor,KC Bling,Vampires,L,W,Buster Blader,Last Gamble,Jano,0,1,,,
Season 4,Week 5,Animal Plays,Gregulator,M. A. Mechs,Ancient Gear,W,L,Buster Blader,Last Gamble,Jano,1,0,,Ancient GearBuster Blader,
Season 4,Week 5,Animal Plays,Gregulator,M. A. Mechs,Ancient Gear,L,W,Koa'ki Meiru,Ties That Bind,Vino,0,1,,,
Season 4,Week 5,Animal Plays,Gregulator,Sealed Tombs,Koa'ki Meiru,L,W,Koa'ki Meiru,Ties That Bind,Vino,0,1,,,
Season 4,Week 5,Animal Plays,Panase,Last Gamble,Buster Blader,W,L,Koa'ki Meiru,Ties That Bind,Vino,1,0,,Buster BladerKoa'ki Meiru,
Season 4,Week 5,Animal Plays,Panase,Last Gamble,Buster Blader,L,W,Vampires,KC Bling,Vino,0,1,,,
Season 4,Week 5,Animal Plays,Panase,KC Bling,Vampires,W,L,Vampires,KC Bling,Vino,1,0,,VampiresVampires,
Season 4,Week 5,Animal Plays,Panase,KC Bling,Vampires,L,W,Koa'ki Meiru,Sealed Tombs,Lipe,0,1,,,
Season 4,Week 5,Creeping Death,SuperForms,KC Bling,Vampires,W,L,Koa'ki Meiru,Ties That Bind,BluMagic,1,0,,VampiresKoa'ki Meiru,
Season 4,Week 5,Creeping Death,SuperForms,KC Bling,Vampires,W,L,Vampires,KC Bling,BluMagic,1,0,,VampiresVampires,
Season 4,Week 5,Creeping Death,SuperForms,KC Bling,Vampires,W,L,Koa'ki Meiru,Sealed Tombs,Woooladdd,1,0,,VampiresKoa'ki Meiru,
Season 4,Week 5,Creeping Death,SuperForms,KC Bling,Vampires,L,W,Buster Blader,Last Gamble,Woooladdd,0,1,,,
Season 4,Week 5,Creeping Death,SuperForms,M. A. Mechs,Ancient Gear,W,L,Buster Blader,Last Gamble,Woooladdd,1,0,,Ancient GearBuster Blader,
Season 4,Week 5,Creeping Death,SuperForms,M. A. Mechs,Ancient Gear,L,W,Koa'ki Meiru,Ties That Bind,Beasty,0,1,,,
Season 4,Week 5,Creeping Death,NA-,Last Gamble,Buster Blader,L,W,Koa'ki Meiru,Ties That Bind,Beasty,0,1,,,
Season 4,Week 5,Creeping Death,NA-,Ties That Bind,Koa'ki Meiru,L,W,Koa'ki Meiru,Ties That Bind,Beasty,0,1,,,
Season 4,Week 5,Creeping Death,Cpt. Insano,Last Gamble,Buster Blader,L,W,Koa'ki Meiru,Ties That Bind,Beasty,0,1,,,
Season 4,Week 5,Creeping Death,Cpt. Insano,KC Bling,Vampires,L,W,Koa'ki Meiru,Ties That Bind,Beasty,0,1,,,
Season 4,Week 5,Creeping Death,Betrayal,Parasite,Amazoness,L,W,Koa'ki Meiru,Ties That Bind,Beasty,0,1,,,
Season 4,Week 5,Creeping Death,Betrayal,Ties That Bind,Koa'ki Meiru,W,L,Koa'ki Meiru,Ties That Bind,Beasty,1,0,,Koa'ki MeiruKoa'ki Meiru,
Season 4,Week 5,Creeping Death,Betrayal,Ties That Bind,Koa'ki Meiru,L,W,Ancient Gear,M. A. Mechs,Beasty,0,1,,,
Season 4,Week 5,Creeping Death,zMeltoRefas,KC Bling,Vampires,W,L,Ancient Gear,M. A. Mechs,Beasty,1,0,,VampiresAncient Gear,
Season 4,Week 5,Creeping Death,zMeltoRefas,KC Bling,Vampires,L,W,Masked Heroes,Destiny Calling,Medina,0,1,,,
Season 4,Week 5,Creeping Death,zMeltoRefas,Parasite,Amazoness,L,W,Masked Heroes,Destiny Calling,Medina,0,1,,,
Season 4,Week 5,Pharaohs,BluMagic,Ties That Bind,Koa'ki Meiru,L,W,Vampires,KC Bling,SuperForms,0,1,,,
Season 4,Week 5,Pharaohs,BluMagic,KC Bling,Vampires,L,W,Vampires,KC Bling,SuperForms,0,1,,,
Season 4,Week 5,Pharaohs,Woooladdd,Sealed Tombs,Koa'ki Meiru,L,W,Vampires,KC Bling,SuperForms,0,1,,,
Season 4,Week 5,Pharaohs,Woooladdd,Last Gamble,Buster Blader,W,L,Vampires,KC Bling,SuperForms,1,0,,Buster BladerVampires,
Season 4,Week 5,Pharaohs,Woooladdd,Last Gamble,Buster Blader,L,W,Ancient Gear,M. A. Mechs,SuperForms,0,1,,,
